phi=0.42, theta=0.19, zenith=0.41
phi=0.42, theta=0.32, zenith=0.39
phi=0.42, theta=0.45, zenith=0.37
phi=0.42, theta=0.58, zenith=0.35
phi=0.42, theta=0.71, zenith=0.31
phi=0.42, theta=0.83, zenith=0.28
phi=0.42, theta=0.96, zenith=0.23
phi=0.42, theta=1.09, zenith=0.19
phi=0.42, theta=1.22, zenith=0.14
phi=0.42, theta=1.35, zenith=0.09
phi=0.42, theta=1.47, zenith=0.04
phi=0.42, theta=4.81, zenith=0.04
phi=0.42, theta=4.94, zenith=0.09
phi=0.42, theta=5.07, zenith=0.14
phi=0.42, theta=5.19, zenith=0.19
phi=0.42, theta=5.32, zenith=0.23
phi=0.42, theta=5.45, zenith=0.28
phi=0.42, theta=5.58, zenith=0.31
phi=0.42, theta=5.71, zenith=0.35
phi=0.42, theta=5.83, zenith=0.37
phi=0.42, theta=5.96, zenith=0.39
phi=0.42, theta=6.09, zenith=0.41
phi=0.42, theta=6.22, zenith=0.42
phi=0.48, theta=0.06, zenith=0.48
phi=0.48, theta=0.19, zenith=0.47
phi=0.48, theta=0.32, zenith=0.45
phi=0.48, theta=0.45, zenith=0.43
phi=0.48, theta=0.58, zenith=0.40
phi=0.48, theta=0.71, zenith=0.36
phi=0.48, theta=0.83, zenith=0.32
phi=0.48, theta=0.96, zenith=0.27
phi=0.48, theta=1.09, zenith=0.22
phi=0.48, theta=1.22, zenith=0.16
phi=0.48, theta=1.35, zenith=0.10
phi=0.48, theta=1.47, zenith=0.04
phi=0.48, theta=4.81, zenith=0.04
phi=0.48, theta=4.94, zenith=0.10
phi=0.48, theta=5.07, zenith=0.16
phi=0.48, theta=5.19, zenith=0.22
phi=0.48, theta=5.32, zenith=0.27
phi=0.48, theta=5.45, zenith=0.32
phi=0.48, theta=5.58, zenith=0.36
phi=0.48, theta=5.71, zenith=0.40
phi=0.48, theta=5.83, zenith=0.43
phi=0.48, theta=5.96, zenith=0.45
phi=0.48, theta=6.09, zenith=0.47
phi=0.48, theta=6.22, zenith=0.48
phi=0.54, theta=0.06, zenith=0.54
phi=0.54, theta=0.19, zenith=0.53
phi=0.54, theta=0.32, zenith=0.51
phi=0.54, theta=0.45, zenith=0.49
phi=0.54, theta=0.58, zenith=0.45
phi=0.54, theta=0.71, zenith=0.41
phi=0.54, theta=0.83, zenith=0.36
phi=0.54, theta=0.96, zenith=0.30
phi=0.54, theta=1.09, zenith=0.24
phi=0.54, theta=1.22, zenith=0.18
phi=0.54, theta=1.35, zenith=0.12
phi=0.54, theta=1.47, zenith=0.05
phi=0.54, theta=4.81, zenith=0.05
phi=0.54, theta=4.94, zenith=0.12
phi=0.54, theta=5.07, zenith=0.18
phi=0.54, theta=5.19, zenith=0.24
phi=0.54, theta=5.32, zenith=0.30
phi=0.54, theta=5.45, zenith=0.36
phi=0.54, theta=5.58, zenith=0.41
phi=0.54, theta=5.71, zenith=0.45
phi=0.54, theta=5.83, zenith=0.49
phi=0.54, theta=5.96, zenith=0.51
phi=0.54, theta=6.09, zenith=0.53
phi=0.54, theta=6.22, zenith=0.54
phi=0.61, theta=0.06, zenith=0.61
phi=0.61, theta=0.19, zenith=0.60
phi=0.61, theta=0.32, zenith=0.57
phi=0.61, theta=0.45, zenith=0.54
phi=0.61, theta=0.58, zenith=0.50
phi=0.61, theta=0.71, zenith=0.45
phi=0.61, theta=0.83, zenith=0.39
phi=0.61, theta=0.96, zenith=0.33
phi=0.61, theta=1.09, zenith=0.27
phi=0.61, theta=1.22, zenith=0.20
phi=0.61, theta=1.35, zenith=0.13
phi=0.61, theta=1.47, zenith=0.05
phi=0.61, theta=4.81, zenith=0.05
phi=0.61, theta=4.94, zenith=0.13
phi=0.61, theta=5.07, zenith=0.20
phi=0.61, theta=5.19, zenith=0.27
phi=0.61, theta=5.32, zenith=0.33
phi=0.61, theta=5.45, zenith=0.39
phi=0.61, theta=5.58, zenith=0.45
phi=0.61, theta=5.71, zenith=0.50
phi=0.61, theta=5.83, zenith=0.54
phi=0.61, theta=5.96, zenith=0.57
phi=0.61, theta=6.09, zenith=0.60
phi=0.61, theta=6.22, zenith=0.61
phi=0.67, theta=0.06, zenith=0.67
phi=0.67, theta=0.19, zenith=0.66
phi=0.67, theta=0.32, zenith=0.63
phi=0.67, theta=0.45, zenith=0.60
phi=0.67, theta=0.58, zenith=0.55
phi=0.67, theta=0.71, zenith=0.49
phi=0.67, theta=0.83, zenith=0.43
phi=0.67, theta=0.96, zenith=0.36
phi=0.67, theta=1.09, zenith=0.29
phi=0.67, theta=1.22, zenith=0.22
phi=0.67, theta=1.35, zenith=0.14
phi=0.67, theta=1.47, zenith=0.06
phi=0.67, theta=4.81, zenith=0.06
phi=0.67, theta=4.94, zenith=0.14
phi=0.67, theta=5.07, zenith=0.22
phi=0.67, theta=5.19, zenith=0.29
phi=0.67, theta=5.32, zenith=0.36
phi=0.67, theta=5.45, zenith=0.43
phi=0.67, theta=5.58, zenith=0.49
phi=0.67, theta=5.71, zenith=0.55
phi=0.67, theta=5.83, zenith=0.60
phi=0.67, theta=5.96, zenith=0.63
phi=0.67, theta=6.09, zenith=0.66
phi=0.67, theta=6.22, zenith=0.67
phi=0.74, theta=0.06, zenith=0.74
phi=0.74, theta=0.19, zenith=0.72
phi=0.74, theta=0.32, zenith=0.69
phi=0.74, theta=0.45, zenith=0.65
phi=0.74, theta=0.58, zenith=0.60
phi=0.74, theta=0.71, zenith=0.54
phi=0.74, theta=0.83, zenith=0.47
phi=0.74, theta=0.96, zenith=0.39
phi=0.74, theta=1.09, zenith=0.32
phi=0.74, theta=1.22, zenith=0.23
phi=0.74, theta=1.35, zenith=0.15
phi=0.74, theta=1.47, zenith=0.06
phi=0.74, theta=4.81, zenith=0.06
phi=0.74, theta=4.94, zenith=0.15
phi=0.74, theta=5.07, zenith=0.23
phi=0.74, theta=5.19, zenith=0.32
phi=0.74, theta=5.32, zenith=0.39
phi=0.74, theta=5.45, zenith=0.47
phi=0.74, theta=5.58, zenith=0.54
phi=0.74, theta=5.71, zenith=0.60
phi=0.74, theta=5.83, zenith=0.65
phi=0.74, theta=5.96, zenith=0.69
phi=0.74, theta=6.09, zenith=0.72
phi=0.74, theta=6.22, zenith=0.74
phi=0.80, theta=0.06, zenith=0.80
phi=0.80, theta=0.19, zenith=0.78
phi=0.80, theta=0.32, zenith=0.75
phi=0.80, theta=0.45, zenith=0.70
phi=0.80, theta=0.58, zenith=0.65
phi=0.80, theta=0.71, zenith=0.58
phi=0.80, theta=0.83, zenith=0.50
phi=0.80, theta=0.96, zenith=0.42
phi=0.80, theta=1.09, zenith=0.34
phi=0.80, theta=1.22, zenith=0.25
phi=0.80, theta=1.35, zenith=0.16
phi=0.80, theta=1.47, zenith=0.07
phi=0.80, theta=4.81, zenith=0.07
phi=0.80, theta=4.94, zenith=0.16
phi=0.80, theta=5.07, zenith=0.25
phi=0.80, theta=5.19, zenith=0.34
phi=0.80, theta=5.32, zenith=0.42
phi=0.80, theta=5.45, zenith=0.50
phi=0.80, theta=5.58, zenith=0.58
phi=0.80, theta=5.71, zenith=0.65
phi=0.80, theta=5.83, zenith=0.70
phi=0.80, theta=5.96, zenith=0.75
phi=0.80, theta=6.09, zenith=0.78
phi=0.80, theta=6.22, zenith=0.80
phi=0.87, theta=0.06, zenith=0.86
phi=0.87, theta=0.19, zenith=0.84
phi=0.87, theta=0.32, zenith=0.81
phi=0.87, theta=0.45, zenith=0.76
phi=0.87, theta=0.58, zenith=0.69
phi=0.87, theta=0.71, zenith=0.62
phi=0.87, theta=0.83, zenith=0.54
phi=0.87, theta=0.96, zenith=0.45
phi=0.87, theta=1.09, zenith=0.36
phi=0.87, theta=1.22, zenith=0.27
phi=0.87, theta=1.35, zenith=0.17
phi=0.87, theta=1.47, zenith=0.07
phi=0.87, theta=4.81, zenith=0.07
phi=0.87, theta=4.94, zenith=0.17
phi=0.87, theta=5.07, zenith=0.27
phi=0.87, theta=5.19, zenith=0.36
phi=0.87, theta=5.32, zenith=0.45
phi=0.87, theta=5.45, zenith=0.54
phi=0.87, theta=5.58, zenith=0.62
phi=0.87, theta=5.71, zenith=0.69
phi=0.87, theta=5.83, zenith=0.76
phi=0.87, theta=5.96, zenith=0.81
phi=0.87, theta=6.09, zenith=0.84
phi=0.87, theta=6.22, zenith=0.86
phi=0.93, theta=0.06, zenith=0.93
phi=0.93, theta=0.19, zenith=0.91
phi=0.93, theta=0.32, zenith=0.86
phi=0.93, theta=0.45, zenith=0.81
phi=0.93, theta=0.58, zenith=0.74
phi=0.93, theta=0.71, zenith=0.66
phi=0.93, theta=0.83, zenith=0.57
phi=0.93, theta=0.96, zenith=0.48
phi=0.93, theta=1.09, zenith=0.38
phi=0.93, theta=1.22, zenith=0.28
phi=0.93, theta=1.35, zenith=0.18
phi=0.93, theta=1.47, zenith=0.08
phi=0.93, theta=4.81, zenith=0.08
phi=0.93, theta=4.94, zenith=0.18
phi=0.93, theta=5.07, zenith=0.28
phi=0.93, theta=5.19, zenith=0.38
phi=0.93, theta=5.32, zenith=0.48
phi=0.93, theta=5.45, zenith=0.57
phi=0.93, theta=5.58, zenith=0.66
phi=0.93, theta=5.71, zenith=0.74
phi=0.93, theta=5.83, zenith=0.81
phi=0.93, theta=5.96, zenith=0.86
phi=0.93, theta=6.09, zenith=0.91
phi=0.93, theta=6.22, zenith=0.93
phi=0.99, theta=0.06, zenith=0.99
phi=0.99, theta=0.19, zenith=0.97
phi=0.99, theta=0.32, zenith=0.92
phi=0.99, theta=0.45, zenith=0.86
phi=0.99, theta=0.58, zenith=0.78
phi=0.99, theta=0.71, zenith=0.69
phi=0.99, theta=0.83, zenith=0.60
phi=0.99, theta=0.96, zenith=0.50
phi=0.99, theta=1.09, zenith=0.40
phi=0.99, theta=1.22, zenith=0.29
phi=0.99, theta=1.35, zenith=0.19
phi=0.99, theta=1.47, zenith=0.08
phi=0.99, theta=4.81, zenith=0.08
phi=0.99, theta=4.94, zenith=0.19
phi=0.99, theta=5.07, zenith=0.29
phi=0.99, theta=5.19, zenith=0.40
phi=0.99, theta=5.32, zenith=0.50
phi=0.99, theta=5.45, zenith=0.60
phi=0.99, theta=5.58, zenith=0.69
phi=0.99, theta=5.71, zenith=0.78
phi=0.99, theta=5.83, zenith=0.86
phi=0.99, theta=5.96, zenith=0.92
phi=0.99, theta=6.09, zenith=0.97
phi=0.99, theta=6.22, zenith=0.99
phi=1.06, theta=0.06, zenith=1.05
phi=1.06, theta=0.19, zenith=1.03
phi=1.06, theta=0.32, zenith=0.97
phi=1.06, theta=0.45, zenith=0.90
phi=1.06, theta=0.58, zenith=0.82
